verse_title,date,score,matches_woodruff,matches_scriptures
Doctrine and Covenants 53:3,"April 6, 1837 ",0.74247,the laying on of hands for the reception of the,to my word and the reception of the Holy Spirit by the laying on of hands
Doctrine and Covenants 120:1,"August 8, 1844 ",0.74211,head the first Presidency of the church and at the,of the First Presidency of my Church and of the
Doctrine and Covenants 1:38,"September 10, 1843 ",0.74196,earth should pass away his words should not pass away,earth pass away my word shall not pass away but
Doctrine and Covenants 135:1,"November 2, 1845 ",0.74161,Jr the Prophet and Hyrum Smith the Patriarch of the,Prophet and Hyrum Smith the Patriarch They were shot in
Doctrine and Covenants 20:1,"February 4, 1851 ",0.74147,Our Lord and Savior Jesus Christ will they all be,the coming of our Lord and Savior Jesus Christ in
Doctrine and Covenants 127:12,"March 1, 1868 ",0.7411,History of the Church of Jesus Christ of Latterday Saints,Lord prophet and seer of The Church of Jesus Christ of Latterday Saints
Doctrine and Covenants 127:12,"April 6, 1870 ",0.7411,History of the Church of Jesus Christ of Latterday Saints,Lord prophet and seer of The Church of Jesus Christ of Latterday Saints
Doctrine and Covenants 128:21,"October 6, 1872 ",0.7409,the Church of Jesus Christ of Latterday Saints met at,tribulations of this Church of Jesus Christ of Latterday Saints!
Doctrine and Covenants 132:19,"July 1, 1838 ",0.74061,the New and Everlasting Covenant and had a dispensation of,and by the new and everlasting covenant and it is
Doctrine and Covenants 106:5,"August 25, 1896 ",0.7405,ity before me! Therefore gird up the loins of your,Therefore gird up your loins that you may be the
Doctrine and Covenants 136:7,"January 21, 1847 ",0.74035,expert men to take teams seeds and Farming utensils to,number of ablebodied and expert men to take teams seeds
Doctrine and Covenants 98:16,"January 13, 1856 ",0.7401,to the children and the hearts of the children to,turn the hearts of the children to their fathers and the hearts of the fathers to the children
Doctrine and Covenants 136:2,"January 21, 1847 ",0.7401,and promise to keep all the commandments and Statutes of,organized into companies with a covenant and promise to keep all the commandments and statutes of the Lord our God
Doctrine and Covenants 68:25,"July 2, 1840 ",0.74002,the gift of the Holy Ghost at the same time,and the gift of the Holy Ghost by the laying
Doctrine and Covenants 101:66,"April 30, 1897 ",0.73996,is gathered and the tares bound in Bundles then the,While the tares shall be bound in bundles and their
Doctrine and Covenants 110:15,"February 2, 1851 ",0.73979,answer is to turn the hearts of the children to,To turn the hearts of the fathers to the children
Doctrine and Covenants 128:18,"April 6, 1852 ",0.73973,as we have been we cannot be perfect without them,the dead For we without them cannot be made perfect
Doctrine and Covenants 27:6,"February 26, 1879 ",0.73925,been spoken by all the Prophets since the world began,spoken by the mouth of all the holy prophets since the world began concerning the last days
Doctrine and Covenants 34:2,"July 2, 1840 ",0.73891,The light shineth in darkness and and again the third,The light and the life of the world a light which shineth in darkness and the darkness comprehendeth it not
Doctrine and Covenants 39:2,"July 2, 1840 ",0.73891,The light shineth in darkness and and again the third,The light and the life of the world a light which shineth in darkness and the darkness comprehendeth it not
