index_woodruff,index_scriptures,cosine_score,verse_title,volume_title,internal_id,parent_id,order,website_url,match_count,text_woodruff,text_scriptures,dates
38978,68188,0.70135,Jacob 5:17,Book of Mormon,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,"of the Lord, that it should come to pass in",And it came to pass that the Lord of the,
38978,68202,0.70135,Jacob 5:19,Book of Mormon,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,"of the Lord, that it should come to pass in",And it came to pass that the Lord of the,
38978,68223,0.70135,Jacob 5:23,Book of Mormon,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,"of the Lord, that it should come to pass in",And it came to pass that the Lord of the,
38978,68230,0.70135,Jacob 5:24,Book of Mormon,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,"of the Lord, that it should come to pass in",And it came to pass that the Lord of the,
38978,68239,0.70135,Jacob 5:26,Book of Mormon,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,"of the Lord, that it should come to pass in",And it came to pass that the Lord of the,
38978,68245,0.70135,Jacob 5:28,Book of Mormon,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,"of the Lord, that it should come to pass in",And it came to pass that the Lord of the,
38978,68253,0.70135,Jacob 5:30,Book of Mormon,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,"of the Lord, that it should come to pass in",And it came to pass that the Lord of the,
38978,68257,0.70135,Jacob 5:31,Book of Mormon,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,"of the Lord, that it should come to pass in",And it came to pass that the Lord of the,
38978,68271,0.70135,Jacob 5:35,Book of Mormon,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,"of the Lord, that it should come to pass in",And it came to pass that the Lord of the,
38978,68284,0.70135,Jacob 5:38,Book of Mormon,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,"of the Lord, that it should come to pass in",And it came to pass that the Lord of the,
