title,price,location,mileage
2013 Scion fr-s,"$16,000","Layton, UT",86K miles
2012 Subaru wrx premium,"$15,000","Kaysville, UT",108K miles
2014 Honda civic ex,"$7,975","Clearfield, UT",198K miles
2014 Kia sorento,"$9,195","Clearfield, UT",137K miles
2011 Ford expedition Xlt,"$4,000","Layton, UT",214K miles
2008 Chevrolet hhr SS Sport Wagon 4D,"$5,500","Layton, UT",134K miles
2008 Nissan maxima SE Sedan 4D,"$6,000","Syracuse, UT",150K miles
2011 Volkswagen gti 2.0T Hatchback Sedan 4D,"$8,000","Layton, UT",134K miles
2013 Dodge avenger,"$6,350","Kaysville, UT",111K miles
2016 Subaru WRX,"$33,000","Hill AFB, UT",46K miles
2021 Audi q5,"$31,475","Kaysville, UT",15K miles
Used Cars We Help Finance Our Vehicle's!,$300,"Provo, UT",
Hot Wheels Cars,$25,"Lehi, UT",
used cars at the best price !,"$15,400","Midvale, UT",
2003 Infiniti cash cars cars cash,"$3,495","Las Vegas, NV",178K miles
Hot wheels,$3,"Salt Lake City, UT",
✅ CARS FOR EVERYONE ✅,"$1,000","Salt Lake City, UT",
"1/18 1:18 diecast cars. maisto, american road, hot wheels, muscle signature",$1,Ships to you,
Hotwheels Fast And Furious,$30,"Ogden, UT",
Lego Ferrari 488 GTE,$100,"Lehi, UT",
traxxas xmaxx 8s,$750,"Highland, UT",
Axial Wraith 1.9 w/ Upgrades,$300,"South Jordan, UT",
hotwheels,$200,"Blackfoot, ID",
hot wheels 84 ford mustang super,$1,"Saratoga Springs, UT",
hot wheels,$1,"Saratoga Springs, UT",
Traxxas Fiesta Rally,$250,"South Jordan, UT",
Mustang hot wheels collection,"$1,400","West Valley City, UT",
Hot Wheels,$10,"Salt Lake City, UT",
HO scale freight cars for sale miscellaneous manufactures.,$7,Ships to you,
Box Of Hot Wheels Cars#hotwheels,$75,"Ogden, UT",
"Very Nice, Unique Assortment of HO Gauge Train Cars and Locomotives. SEE PICS AND DESCRIPTION",$100,Ships to you,
Fisher price power wheels,$50,"West Valley City, UT",
CARS Room Decor,$10,"Layton, UT",
Traxxas Trx4m,$320,"Saratoga Springs, UT",
Hot Wheels,$123,"Clearfield, UT",
"Toddler Bed -""Cars""",$100,"Kaysville, UT",
Model Cars,$20,"Clearfield, UT",
Axial Scx24 Bronco,$140,"Provo, UT",
Bag Of 17 New Hot Wheels Cars,$5,"Salt Lake City, UT",
Losi super rock rey with batteries and parts,$500,"Salt Lake City, UT",
Box of Hotwheel cars,$27,"Provo, UT",
2020 9/10 hot wheels,$20,"Magna, UT",
Vintage diecast cars,$8,"Ogden, UT",
Diecast Cars And Trucks-$20/$40,$20,"Boulder, CO",
Hot Wheels collection for sale. Ask about cars.,$3,Ships to you,
Rare Hotwheels Cars,$50,"Nampa, ID",
Losi 1/10 Beja Rey,$225,"Ogden, UT",
**SALE** Read     Hotwheels,$10,"Salt Lake City, UT",
Hot Wheels Cars,$8,"Clearfield, UT",
Disney Cars Toys 3 Ultimate Florida Speedway Track Set,$50,"Ogden, UT",
Hot wheels tracks and cars,$25,"Millville, UT",
Old Collectible Cars,$60,"Boise, ID",
Toy Scale Model Cars Bag 6,$20,"Orem, UT",
Hot Wheels $ 3 Each $ 6 For 5 Packs $ 80 For All,$72,"Ogden, UT",
Traxxas rc car 2x4 stampede vxl brushless,$160,"Kaysville, UT",
"Disney Pixar Cars
separately",$250,"Salt Lake City, UT",
Cars,$25,"Provo, UT",
2010 Any gm cars Any,$50,"Salt Lake City, UT",10K miles
Lego Cars Lot,$1,Ships to you,
kids car,$30,"Herriman, UT",
tan Losi Tenacity DBPro,$450,"Salt Lake City, UT",
Collectible Model Cars,"$123,456","Tremonton, UT",
lot of 10 diecast trucks and cars! 2 for free!,$50,"Eagle, ID",
Figure 8 Cars,"$1,000","Riverton, WY",
Hot Wheels matchbox Lot! 16 different sealed cars 2 double packs! See Description!,$70,"Orem, UT",
RC'S * STILL AVAILABLE,$125,"Midvale, UT",
cars toys,$10,"Salt Lake City, UT",
rc cars,"$1,234","Lehi, UT",
Monster Jam Track,$30,"Bountiful, UT",
vintage hot wheels  lot of 9,$80,"Salt Lake City, UT",
Hot Wheels Cars,$123,Ships to you,
model cars diecast cars plastic custom model kits Jada revell amt,$25,"Henderson, NV",
Disneys Cars race track,$45,"Herriman, UT",
Hotwheels Cars $2 Each,$2,"Ogden, UT",
Skyline GT-R  bundle lot,$320,"Salt Lake City, UT",
"RC Cars, Helicopters, Parts & More.",$1,Ships to you,
Hot Wheels Fast and Furious Car Culture Set of 5 cars,$40,Ships to you,
remote control cars,$100,"Idaho Falls, ID",
