title,price,location,mileage
2012 Honda civic EX-L Sedan 4D,"$6,900","Livermore, CA",137K miles
2015 Hyundai sonata Limited 2.0T Sedan 4D,"$14,500","San Mateo, CA",98K miles
2002 Honda accord,"$4,500","Foster City, CA",99K miles
2010 Toyota corolla S,"$8,500","San Mateo, CA",137K miles
2013 BMW 3 series 320i xDrive Sedan 4D,"$7,000","Alameda, CA",160K miles
2007 Honda civic DX Coupe 2D,"$2,300","Daly City, CA",190K miles
2001 Honda accord LX Sedan 4D,"$3,350","San Lorenzo, CA",123K miles
2002 Honda civic LX Sedan 4D,"$2,999","San Mateo, CA",154K miles
2005 Honda accord LX Sedan 4D,"$8,900","Richmond, CA",26K miles
2005 Scion xb Hatchback 4D,"$3,950","Emeryville, CA",266K miles
2005 BMW 3 series 330Ci Coupe 2D,$1,"Berkeley, CA",158K miles
2005 Toyota prius Hatchback 4D,"$4,800","San Francisco, CA",145K miles
2008 Toyota camry,"$6,000","Oakland, CA",149K miles
2009 Mercedes-Benz c-class C 300 Sport Sedan 4D,"$7,000","Oakland, CA",104K miles
2005 Honda civic Hybrid Sedan 4D,"$1,500","Oakland, CA",224K miles
2005 MINI Cooper Convertible 2D,"$4,000","Alameda, CA",96K miles
2014 Nissan altima 2.5 S Sedan 4D,"$7,200","San Leandro, CA",115K miles
2010 Toyota prius II Hatchback 4D,"$9,999","Fremont, CA",86K miles
1995 Honda civic DX Hatchback 2D,Free,"San Francisco, CA",180K miles
2001 Honda accord DX Sedan 4D,"$3,500","Millbrae, CA",2K miles
2004 Honda accord EX Sedan 4D,"$5,600","Oakland, CA",148K miles
2005 Infiniti g35 revup manual,"$1,234","Alamo, CA",80K miles
2002 Honda accord,"$3,600","Hayward, CA",128K miles
2010 Honda fit Hatchback 4D,"$6,600","Richmond, CA",99K miles
2007 Jeep liberty,"$3,000","Hayward, CA",
2014 Hyundai elantra SE Sedan 4D,"$4,500","Oakland, CA",148K miles
2011 Toyota prius Two Hatchback 4D,"$11,800","San Jose, CA",65K miles
2014 Honda civic EX Sedan 4D,"$7,200","Oakland, CA",113K miles
2000 Toyota camry LE Sedan 4D,"$1,200","Oakley, CA",232K miles
2009 Dodge journey R/T Sport Utility 4D,"$5,500","San Francisco, CA",124K miles
2003 Toyota matrix Sport Wagon 4D,"$3,000","Hayward, CA",189K miles
2011 BMW 3 series 328i Convertible 2D,"$8,500","Fremont, CA",197K miles
2011 Ford fusion Hybrid Sedan 4D,"$6,500","Hayward, CA",131K miles
2003 Mitsubishi eclipse GS Coupe 2D,"$2,500","Alameda, CA",200K miles
2007 Mazda mazda6 MAZDASPEED6 Grand Touring Sedan 4D,"$2,500","Fairfield, CA",115K miles
1998 Honda accord,"$2,500","San Leandro, CA",190K miles
2001 Honda accord LX Sedan 4D,"$2,200","Oakland, CA",228K miles
2013 Nissan altima 2.5 S Sedan 4D,"$4,800","Oakland, CA",151K miles
2000 Ford mustang Convertible 2D,"$1,000","Napa, CA",80K miles
2018 Lamborghini other,"$7,500","San Francisco, CA",1.2K miles
2004 Nissan 350z Coupe 2D,"$4,050","Brentwood, CA",194K miles
2009 Nissan murano SL Sport Utility 4D,"$1,999","San Jose, CA",120K miles
2001 Chrysler 300m Sedan 4D,"$1,200","Napa, CA",170K miles
2008 Toyota prius Touring Hatchback 4D,"$4,800","San Francisco, CA",163K miles
2017 Toyota corolla LE Sedan 4D,"$12,995","Hayward, CA",96K miles
2015 Nissan altima 2.5 S Sedan 4D,"$5,900","Oakland, CA",128K miles · Dealership
2011 Nissan cube S Krom Edition Wagon 4D,"$4,300","San Jose, CA",136K miles
2015 Nissan versa Note S Hatchback 4D,"$6,700","Richmond, CA",72K miles
2014 Cadillac cts 2.0 Standard Sedan 4D,"$10,000","Daly City, CA",127K miles
2010 Nissan altima 2.5 Sedan 4D,"$5,450","Pleasant Hill, CA",133K miles
2011 BMW 3 series 328i Convertible 2D,"$9,895","Cupertino, CA",109K miles
2014 Subaru impreza 2.0i Sport Limited Wagon 4D,"$5,500","Oakland, CA",114K miles
2014 Honda accord LX Sedan 4D,"$10,500","Hayward, CA",97K miles
2016 Hyundai sonata Eco Sedan 4D,"$3,240","San Jose, CA",124K miles
2015 Lincoln mkz Black Label Hybrid Sedan 4D,$15,"San Bruno, CA",92K miles
2020 Toyota camry SE Nightshade Edition Sedan 4D,"$21,999","Hayward, CA",72K miles
2019 Hyundai sonata Sport Sedan 4D,"$10,900","Oakland, CA",94K miles · Dealership
2007 Honda cr-v LX Sport Utility 4D,"$6,000","San Jose, CA",127K miles
2004 Honda civic LX Sedan 4D,"$5,200","Santa Rosa, CA",90K miles
2003 Honda civic,"$2,400","Oakland, CA",200K miles
2018 Lexus IS 300 Sedan 4D,"$18,000","South San Francisco, CA",80K miles
2014 Toyota prius Four Hatchback 4D,"$12,500","San Francisco, CA",105K miles
1970 Ford mustang Mach 1 351 Cleavland,"$24,000","Emeryville, CA",300 miles
2011 Kia optima Hybrid Sedan 4D,"$7,500","Oakland, CA",134K miles
2012 Hyundai accent SE Hatchback 4D,"$7,000","El Sobrante, CA",64K miles
2001 Toyota camry LE Sedan 4D,"$3,500","Sunnyvale, CA",188K miles
2007 Lexus rx  350,"$6,200","San Francisco, CA",148K miles
2019 Tesla model 3 Long Range Sedan 4D,"$32,000","Millbrae, CA",29K miles
1985 Nissan 300zx Coupe 2D,"$8,500","Oakland, CA",59K miles
2000 Ford mustang GT Coupe 2D,"$6,800","San Francisco, CA",155K miles
2021 Toyota camry hybrid SE Sedan 4D,"$26,010","Mountain View, CA",53K miles
2013 Ford c-max hybrid SE Wagon 4D,"$9,000","San Francisco, CA",99K miles
2007 Chrysler chrysler+sebring Sedan+4D,"$2,500","Martinez, CA",200K miles
2011 Ford fusion SEL Sedan 4D,"$5,200","Hercules, CA",130K miles
2007 Ford fusion S Sedan 4D,"$2,200","Brentwood, CA",185K miles
2016 Kia rio EX Hatchback 4D,"$5,500","South San Francisco, CA",140K miles
2013 Ford edge Limited Sport Utility 4D,"$6,995","Hayward, CA",151K miles
2017 Honda Accord Hybrid,"$16,500","San Leandro, CA",119K miles
2017 Hyundai Santa Fe Sport,"$8,900","San Mateo, CA",90K miles
2011 Kia optima EX Sedan 4D,"$1,900","Brentwood, CA",145K miles
2013 Kia optima,"$6,495","San Leandro, CA",147K miles
2011 Toyota 431434234330861 Four Hatchback 4D,"$8,800","Hayward, CA",126K miles
2015 Toyota prius Four Hatchback 4D,"$8,900","Alameda, CA",102K miles
2012 Honda civic LX Sedan 4D,"$7,800","Oakland, CA",131K miles
2005 Toyota corolla,"$7,500","Oakland, CA",48K miles
2016 Infiniti q50 sport,"$12,502","San Francisco, CA",100K miles
2014 Fiat 500 abarth Hatchback 2D,"$11,000","San Francisco, CA",40K miles
2012 Chrysler 200,"$3,500","Union City, CA",149K miles
2013 Ford c-max hybrid SE Wagon 4D,"$3,000","San Bruno, CA",104K miles
2005 Toyota prius Hatchback 4D,"$4,000","San Jose, CA",125K miles
2007 Honda accord EX Sedan 4D,"$5,200","Santa Clara, CA",139K miles
2007 Volkswagen new beetle 2.5 Convertible 2D,"$6,900","Fremont, CA",100K miles
2002 Honda civic EX Sedan 4D,"$4,800","El Cerrito, CA",98K miles
